a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
16:0,18:0,362.0,218.78987307769793,141.14874302905525,145.89,12.197864567210114,17.71703553595271,1.6545555555555556,2.5646703770183974
16:0,18:1,388.0,224.381169834128,144.7558775731311,149.345,12.489034190040476,19.109163796694396,1.7292003615402571,2.6803747557951922
16:0,18:2,366.0,209.06587871868913,134.87546556109723,139.39,10.839183548588887,20.90655619809128,1.7506443530772196,2.713614358826481
16:0,20:4,355.0,205.41938083406083,132.52298651061298,138.21,11.36731718568634,19.071342556797894,1.7281718918565498,2.678780559865893
16:0,22:6,52.0,120.33443019273386,77.63180866598037,80.84,9.60127074922898,-3.0037690586234085,0.43212902505720185,0.6698285263935544
18:0,18:1,374.0,223.14149486266874,143.95612134344532,149.475,13.099212762605243,17.140343016716162,1.676066570362345,2.5980138705440967
18:0,18:2,359.0,207.91081861527095,134.13029724308012,139.28,10.97959926408974,20.011659325183558,1.726701873385013,2.6765019341558274
18:0,20:4,359.0,204.28446712779532,131.79081531442176,137.085,11.702896009108175,18.962400403052982,1.757353385930309,2.724013802809481
18:0,22:6,51.0,119.66959908669666,77.20290364572635,79.47,8.918469599656659,-3.192251729051813,0.42617340067340065,0.6605969152926174
18:1,18:2,360.0,213.22409509099455,137.55807150595885,142.88,12.6564449984978,17.154896183388786,1.6883645342538236,2.617076526726425
18:1,20:4,358.0,209.50507017661675,135.1588028169014,139.33,11.432458178362168,19.12712004613928,1.7087891939712925,2.6487360981214065
18:1,22:6,50.0,122.7278221744678,79.17586673889491,81.955,8.608889301181659,-3.7118609476850684,0.40740558346192146,0.6315055591988569
14:1,15:1,46.0,60.66953193203949,39.13996590384879,40.785,6.339461727938739,0.8226250467002423,0.7582059484409417,1.1752692915728022
14:1,22:1,49.0,82.28225102410852,53.08306157995561,54.595,7.342409345712076,-0.7620114510868896,0.5955111751335426,0.9230816486760931
15:0,16:1,49.0,66.52743267745618,42.919095693420466,45.015,6.653929290276536,0.5988942512243595,0.7365382674176812,1.1416829550654242
16:0,20:0,349.0,204.8116311866228,132.1309066688656,136.735,11.783241277339615,18.014143562366616,1.704004787120678,2.6413199515434482
18:0,20:0,351.0,203.68007521321604,131.40090165964537,135.875,11.467753703319582,18.759122803424663,1.7232908011869437,2.671214546983553
18:1,20:0,356.0,208.8852326908871,134.7589247020585,139.945,12.332152083071305,17.51965095342806,1.7042851493806481,2.6417545315613666
18:2,20:0,349.0,194.627627425962,125.56086158588333,131.93,10.507383118550498,20.65880700750017,1.793167828307225,2.779528553659094
18:2,20:4,351.0,195.20515747767107,125.9334457448919,131.3,11.734990413289648,18.721787769949433,1.798108228980322,2.7871865009636427
