head,a,b,obs,null_mean,z
CL,16:0,18:0,302.0,300.68,0.09323615050121067
CL,16:0,18:1,303.0,298.16,0.32932455669054894
CL,16:0,18:2,302.0,300.8,0.08391813582966812
CL,16:0,20:0,302.0,300.09,0.12276375062112668
CL,16:0,20:4,302.0,299.41,0.18529239711055173
CL,18:0,18:1,302.0,300.56,0.09837516089370096
CL,18:0,18:2,302.0,300.45,0.11913651947326016
CL,18:0,20:0,302.0,299.76,0.15002760048908884
CL,18:0,20:4,302.0,300.05,0.12594873215942923
CL,18:1,18:2,302.0,301.11,0.0730988222325607
CL,18:1,20:0,302.0,300.44,0.09869733666348485
CL,18:1,20:4,302.0,301.67,0.023309997083176735
CL,18:2,20:0,302.0,300.63,0.10402903591836218
CL,18:2,20:4,302.0,301.94,0.0044509650917888026
CL,20:0,20:4,302.0,300.77,0.07813389529315669
TG,12:0,13:0,33.0,30.31,0.5433079687666139
TG,12:0,14:0,33.0,31.75,0.23129317634689114
TG,12:0,14:1,33.0,31.21,0.3203284768622328
TG,12:0,15:0,33.0,31.02,0.3544791349589495
TG,12:0,15:1,33.0,31.55,0.2574246173433542
TG,12:0,16:0,32.0,33.41,-0.2351244529599199
TG,12:0,16:1,33.0,32.78,0.04019876097368191
TG,12:0,17:0,33.0,33.56,-0.0969177293911578
TG,12:0,17:1,33.0,33.63,-0.1235695629555299
TG,12:0,17:2,33.0,33.81,-0.1370052467373746
TG,12:0,18:0,32.0,32.28,-0.04653654625141983
TG,12:0,18:1,33.0,33.32,-0.0656244943200387
TG,12:0,18:2,33.0,32.36,0.1033732804224333
TG,12:0,18:3,65.0,61.94,0.3696245273523282
TG,12:0,18:4,33.0,30.78,0.4214140014171104
TG,12:0,19:0,33.0,32.85,0.026439158954353656
TG,12:0,19:1,33.0,31.67,0.2375716004460236
TG,12:0,20:0,33.0,32.91,0.015291203131076046
TG,12:0,20:1,33.0,33.07,-0.013795922578511111
TG,12:0,20:2,33.0,32.44,0.0992957747735104
TG,12:0,20:3,33.0,33.07,-0.012543050626939249
TG,12:0,20:4,33.0,33.43,-0.07466684485146804
TG,12:0,20:5,33.0,31.98,0.20027121581812976
TG,12:0,21:0,33.0,33.44,-0.07375825754867774
TG,12:0,22:0,33.0,33.21,-0.03694693125553432
TG,12:0,22:1,33.0,49.52,-2.1293610924628186
TG,12:0,22:2,33.0,34.17,-0.20567155140189985
TG,12:0,22:3,33.0,34.26,-0.218503826609985
TG,12:0,22:4,33.0,32.1,0.15324838705738936
TG,12:0,22:5,33.0,33.37,-0.06321960570252487
TG,12:0,22:6,33.0,32.5,0.08958617182905827
TG,13:0,14:0,33.0,31.14,0.3511284468048389
TG,13:0,14:1,33.0,31.23,0.3173026568671723
TG,13:0,15:0,33.0,31.35,0.3003103984275713
TG,13:0,15:1,33.0,31.19,0.30836095387278206
TG,13:0,16:0,33.0,32.81,0.02929187794018328
TG,13:0,16:1,33.0,32.56,0.0823237073140554
TG,13:0,17:0,33.0,32.41,0.10675887440221599
TG,13:0,17:1,33.0,32.87,0.022570975188571034
TG,13:0,17:2,33.0,31.52,0.2937201801959483
TG,13:0,18:0,33.0,32.92,0.014125900168561844
TG,13:0,18:1,33.0,32.64,0.07136005802967028
TG,13:0,18:2,33.0,33.97,-0.15618955294622353
TG,13:0,18:3,65.0,61.66,0.43291133141876675
TG,13:0,18:4,33.0,30.11,0.5404192011541853
TG,13:0,19:0,33.0,33.44,-0.07571994608441343
TG,13:0,19:1,33.0,30.94,0.3611457189478444
TG,13:0,20:0,33.0,32.28,0.12090752552698686
TG,13:0,20:1,33.0,32.38,0.10459670469844193
TG,13:0,20:2,33.0,32.61,0.06543964986106932
TG,13:0,20:3,33.0,33.07,-0.012007532310521794
TG,13:0,20:4,33.0,32.37,0.11620313726882776
TG,13:0,20:5,33.0,33.26,-0.04466035658350469
TG,13:0,21:0,33.0,34.04,-0.1775809638366153
TG,13:0,22:0,33.0,32.48,0.08370823891460571
TG,13:0,22:1,33.0,48.49,-2.3047660775992496
TG,13:0,22:2,33.0,34.08,-0.1837287434170867
TG,13:0,22:3,33.0,33.73,-0.1421916349854242
TG,13:0,22:4,33.0,33.55,-0.10646546206908143
TG,13:0,22:5,33.0,32.81,0.03540815966479009
TG,13:0,22:6,33.0,32.33,0.11315194771432803
TG,14:0,14:1,33.0,32.12,0.1619508777771825
TG,14:0,15:0,33.0,31.54,0.26363756773619806
TG,14:0,15:1,33.0,31.93,0.21372191498234
TG,14:0,16:0,33.0,33.36,-0.05936812371939355
TG,14:0,16:1,33.0,32.61,0.07800327620640256
TG,14:0,17:0,33.0,32.37,0.11219079239360157
TG,14:0,17:1,33.0,32.31,0.1286769361800614
TG,14:0,17:2,33.0,32.53,0.08225498943052711
TG,14:0,18:0,33.0,32.97,0.004891868615570251
TG,14:0,18:1,33.0,32.1,0.17072543818333882
TG,14:0,18:2,33.0,32.65,0.062176182835806115
TG,14:0,18:3,65.0,63.83,0.15822213501127882
TG,14:0,18:4,33.0,32.35,0.13372249489003257
TG,14:0,19:0,33.0,32.32,0.12225471081012315
TG,14:0,19:1,33.0,31.58,0.24569239122258446
TG,14:0,20:0,33.0,33.5,-0.086710996952412
TG,14:0,20:1,33.0,32.76,0.04699346477303465
TG,14:0,20:2,33.0,32.82,0.02886469245969449
TG,14:0,20:3,33.0,32.87,0.025951722796462927
TG,14:0,20:4,33.0,32.16,0.1428984795544955
TG,14:0,20:5,33.0,32.71,0.04680714305459419
TG,14:0,21:0,33.0,33.2,-0.04315318520021092
TG,14:0,22:0,33.0,32.96,0.006583222836693873
TG,14:0,22:1,33.0,49.13,-2.0824937926467526
TG,14:0,22:2,33.0,34.52,-0.28938158160278354
TG,14:0,22:3,33.0,34.36,-0.2443799103195021
TG,14:0,22:4,33.0,32.36,0.1073390452828939
TG,14:0,22:5,33.0,32.5,0.08078187483917401
TG,14:0,22:6,33.0,33.22,-0.041172520598792464
TG,14:1,15:0,33.0,32.77,0.041966121707764606
TG,14:1,15:1,33.0,31.85,0.19645207919676963
TG,14:1,16:0,33.0,34.45,-0.25898019092858215
TG,14:1,16:1,33.0,32.73,0.04653989698084141
TG,14:1,17:0,33.0,31.87,0.1992815157745403
TG,14:1,17:1,33.0,32.51,0.0885078006650659
TG,14:1,17:2,33.0,32.84,0.025193133161773563
TG,14:1,18:0,33.0,32.43,0.09183388731442642
TG,14:1,18:1,33.0,32.21,0.15779216679610467
TG,14:1,18:2,33.0,32.74,0.04228206857566056
TG,14:1,18:3,65.0,61.91,0.38948304358421015
TG,14:1,18:4,33.0,31.13,0.3226387787823906
TG,14:1,19:0,33.0,33.01,-0.0017560108510704373
TG,14:1,19:1,33.0,31.17,0.32984432911402456
TG,14:1,20:0,33.0,33.27,-0.048402100200077715
TG,14:1,20:1,33.0,34.16,-0.19790957457027578
TG,14:1,20:2,33.0,33.45,-0.08206611112487891
TG,14:1,20:3,33.0,32.46,0.09719338329968961
TG,14:1,20:4,33.0,33.4,-0.08384436163006341
TG,14:1,20:5,33.0,32.55,0.08286927452078735
TG,14:1,21:0,33.0,33.06,-0.010708073009899446
TG,14:1,22:0,33.0,32.46,0.08337504081635974
TG,14:1,22:1,33.0,49.96,-2.3578672531322407
TG,14:1,22:2,33.0,33.52,-0.09572418606759231
TG,14:1,22:3,33.0,33.47,-0.10258903616411333
TG,14:1,22:4,33.0,33.56,-0.08977956632941833
TG,14:1,22:5,33.0,33.85,-0.1298542541158301
TG,14:1,22:6,33.0,33.95,-0.18621187697228256
TG,15:0,15:1,33.0,31.18,0.3679388969143448
TG,15:0,16:0,33.0,33.19,-0.03091417690454342
TG,15:0,16:1,33.0,33.45,-0.07231073608905492
TG,15:0,17:0,33.0,32.42,0.10710736871254595
TG,15:0,17:1,33.0,31.97,0.178950289701613
TG,15:0,17:2,33.0,33.69,-0.14639851939540588
TG,15:0,18:0,33.0,32.7,0.0524062439354101
TG,15:0,18:1,33.0,31.84,0.20930855105305018
TG,15:0,18:2,33.0,32.4,0.10892898631973984
TG,15:0,18:3,65.0,62.42,0.34787574419297157
TG,15:0,18:4,33.0,31.88,0.19536521518534367
TG,15:0,19:0,33.0,31.85,0.19234238767751963
TG,15:0,19:1,33.0,31.91,0.18211771361564186
TG,15:0,20:0,33.0,33.38,-0.06302283542487226
TG,15:0,20:1,33.0,33.35,-0.0627531440192797
TG,15:0,20:2,33.0,32.31,0.12138203168462189
TG,15:0,20:3,33.0,33.3,-0.04929971387076831
TG,15:0,20:4,33.0,33.11,-0.02153227430721785
TG,15:0,20:5,33.0,31.97,0.20679104118671218
TG,15:0,21:0,33.0,33.29,-0.05448866142356243
TG,15:0,22:0,33.0,33.66,-0.12126044397418104
TG,15:0,22:1,33.0,47.91,-2.4282646908241983
TG,15:0,22:2,33.0,34.47,-0.25462763808103667
TG,15:0,22:3,33.0,34.44,-0.23205772652588624
TG,15:0,22:4,33.0,33.25,-0.050938264577150755
TG,15:0,22:5,33.0,32.65,0.061273987717145435
TG,15:0,22:6,33.0,33.0,0.0
TG,15:1,16:0,33.0,32.54,0.09242912789310569
TG,15:1,16:1,33.0,33.29,-0.0510219526862137
